svchost.exe	4748	UDPV6	[fe80:0:0:0:55ff:ef6:92bd:51c3]	1900	*	*											
svchost.exe	1740	UDPV6	desktop-95e5s13	5353	*	*											
svchost.exe	1740	UDPV6	desktop-95e5s13	5355	*	*											
svchost.exe	4748	UDPV6	[fe80:0:0:0:55ff:ef6:92bd:51c3]	58368	*	*											
svchost.exe	4748	UDPV6	[0:0:0:0:0:0:0:1]	58369	*	*											
svchost.exe	7964	TCP	desktop-95e5s13.localdomain	50558	52.169.123.48	https	ESTABLISHED										
System	4	TCP	desktop-95e5s13.localdomain	netbios-ssn	DESKTOP-95E5S13	0	LISTENING										
System	4	TCP	DESKTOP-95E5S13	microsoft-ds	DESKTOP-95E5S13	0	LISTENING										
System	4	UDP	desktop-95e5s13.localdomain	netbios-ns	*	*		24	1,632								
System	4	UDP	desktop-95e5s13.localdomain	netbios-dgm	*	*											
System	4	TCPV6	desktop-95e5s13	microsoft-ds	desktop-95e5s13	0	LISTENING										
wininit.exe	524	TCP	DESKTOP-95E5S13	49664	DESKTOP-95E5S13	0	LISTENING										
wininit.exe	524	TCPV6	desktop-95e5s13	49664	desktop-95e5s13	0	LISTENING										
