Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
 lsass.exe	0.20	6,140 K	15,272 K	680	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,368 K	3,880 K	824		
csrss.exe	0.19	1,876 K	4,900 K	536		
winlogon.exe		2,484 K	9,620 K	624		
 fontdrvhost.exe		2,028 K	6,748 K	816		
 dwm.exe	0.89	33,704 K	62,500 K	312		
explorer.exe	0.05	46,364 K	120,100 K	4316	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,916 K	9,404 K	3728	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe		27,568 K	65,892 K	5804	Microsoft OneDrive	Microsoft Corporation
 chrome.exe	< 0.01	48,448 K	118,688 K	5716	Google Chrome	Google Inc.
  chrome.exe		2,012 K	8,404 K	640	Google Chrome	Google Inc.
  chrome.exe		1,940 K	9,292 K	6180	Google Chrome	Google Inc.
  chrome.exe		14,696 K	21,764 K	4640	Google Chrome	Google Inc.
  chrome.exe		41,188 K	69,460 K	7276	Google Chrome	Google Inc.
  chrome.exe		44,716 K	72,324 K	7112	Google Chrome	Google Inc.
  chrome.exe		38,344 K	65,192 K	7284	Google Chrome	Google Inc.
  chrome.exe		13,448 K	21,764 K	4628	Google Chrome	Google Inc.
  software_reporter_tool.exe	0.01	3,576 K	4,180 K	7540	Software Reporter Tool	Google
   software_reporter_tool.exe		2,172 K	1,512 K	4848	Software Reporter Tool	Google
   software_reporter_tool.exe	0.02	11,120 K	12,236 K	6904	Software Reporter Tool	Google
 procexp64.exe	1.19	18,400 K	51,532 K	5980	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com

